timestamp_ms,frame_index,count
00:00:000,0,-10.353
00:00:400,10,-9.507
00:00:800,20,-8.968
00:01:200,30,-7.956
00:01:600,40,-8.377
00:02:000,50,-8.395
00:02:400,60,-8.656
00:02:800,70,-6.543
00:03:200,80,-5.289
00:03:600,90,-3.166
00:04:000,100,-4.434
00:04:400,110,-4.672
00:04:800,120,-5.586
00:05:200,130,-3.054
00:05:600,140,-3.261
00:06:000,150,-2.814
00:06:400,160,-5.845
00:06:800,170,-6.618
00:07:200,180,-8.075
00:07:600,190,-6.876
00:08:000,200,-6.542
00:08:400,210,-5.656
00:08:800,220,-6.607
00:09:200,230,-7.320
00:09:600,240,-6.970
00:10:000,250,-5.739
00:10:400,260,-4.294
00:10:800,270,-4.375
00:11:200,280,-4.370
00:11:600,290,-5.862
00:12:000,300,-6.109
00:12:400,310,-6.621
00:12:800,320,-3.451
00:13:200,330,-3.505
