timestamp_ms,frame_index,count
00:00:000,0,445.749
00:00:400,10,490.043
00:00:800,20,497.943
00:01:200,30,510.046
00:01:600,40,493.284
00:02:000,50,480.357
00:02:400,60,471.563
00:02:800,70,524.136
00:03:200,80,557.830
00:03:600,90,603.510
00:04:000,100,570.587
00:04:400,110,560.066
00:04:800,120,537.563
00:05:200,130,598.647
00:05:600,140,603.402
00:06:000,150,616.957
00:06:400,160,542.571
00:06:800,170,517.400
00:07:200,180,484.264
00:07:600,190,519.025
00:08:000,200,542.617
00:08:400,210,575.242
00:08:800,220,542.967
00:09:200,230,524.211
00:09:600,240,519.802
00:10:000,250,545.985
00:10:400,260,577.808
00:10:800,270,591.545
00:11:200,280,575.558
00:11:600,290,551.530
00:12:000,300,532.198
00:12:400,310,532.002
00:12:800,320,600.314
00:13:200,330,603.022
