date,timestamp_ms,frame_index,count,alert
2025-12-04,00:00:000,0,0.000,
2025-12-04,00:00:416,10,0.000,
2025-12-04,00:00:833,20,0.000,
2025-12-04,00:01:250,30,0.000,
2025-12-04,00:01:666,40,0.000,
2025-12-04,00:02:083,50,0.000,
2025-12-04,00:02:500,60,0.000,
2025-12-04,00:02:916,70,0.000,
2025-12-04,00:03:333,80,0.000,
2025-12-04,00:03:750,90,0.000,
2025-12-04,00:04:166,100,0.000,
2025-12-04,00:04:583,110,0.000,
2025-12-04,00:05:000,120,0.000,
2025-12-04,00:05:416,130,0.000,
2025-12-04,00:05:833,140,0.000,lens_covered_or_extremely_dark
2025-12-04,00:06:250,150,0.000,lens_covered_or_extremely_dark
2025-12-04,00:06:666,160,0.000,lens_covered_or_extremely_dark
2025-12-04,00:07:083,170,0.000,camera_frozen
2025-12-04,00:07:500,180,0.000,camera_frozen
